municipio,regiao,mes,mes_nome,ano,focos_calor,precipitacao_mm,temp_max_media_c
Formosa,Norte/Nordeste,10,outubro,2024,36,92.4,33.2
Guarani de Goias,Norte/Nordeste,6,junho,2024,4,10.1,29.0
Guarani de Goias,Norte/Nordeste,7,julho,2024,9,0.0,30.2
Guarani de Goias,Norte/Nordeste,8,agosto,2024,21,13.4,32.3
Guarani de Goias,Norte/Nordeste,9,setembro,2024,36,67.0,34.7
Guarani de Goias,Norte/Nordeste,10,outubro,2024,11,137.6,32.0
Iaciara,Norte/Nordeste,6,junho,2024,4,7.5,27.4
Iaciara,Norte/Nordeste,7,julho,2024,8,13.0,29.0
Iaciara,Norte/Nordeste,8,agosto,2024,20,23.4,36.5
Iaciara,Norte/Nordeste,9,setembro,2024,29,41.1,34.9
Iaciara,Norte/Nordeste,10,outubro,2024,14,86.4,31.7
Itapaci,Norte/Nordeste,6,junho,2024,5,12.5,30.0
Itapaci,Norte/Nordeste,7,julho,2024,13,4.8,29.7
Itapaci,Norte/Nordeste,8,agosto,2024,33,9.2,31.5
Itapaci,Norte/Nordeste,9,setembro,2024,37,51.2,36.4
Itapaci,Norte/Nordeste,10,outubro,2024,15,129.2,32.3
Mambai,Norte/Nordeste,6,junho,2024,3,9.5,29.4
Mambai,Norte/Nordeste,7,julho,2024,12,10.9,31.0
Mambai,Norte/Nordeste,8,agosto,2024,18,5.1,34.4
Mambai,Norte/Nordeste,9,setembro,2024,33,57.0,32.4
Mambai,Norte/Nordeste,10,outubro,2024,11,157.4,30.7
Monte Alegre de Goias,Norte/Nordeste,6,junho,2024,17,9.8,28.3
Monte Alegre de Goias,Norte/Nordeste,7,julho,2024,53,4.8,30.3
Monte Alegre de Goias,Norte/Nordeste,8,agosto,2024,97,19.6,32.8
Monte Alegre de Goias,Norte/Nordeste,9,setembro,2024,153,41.4,35.1
Monte Alegre de Goias,Norte/Nordeste,10,outubro,2024,54,155.3,32.5
Niquelandia,Norte/Nordeste,6,junho,2024,24,6.0,28.9
Niquelandia,Norte/Nordeste,7,julho,2024,38,7.3,31.9
Niquelandia,Norte/Nordeste,8,agosto,2024,99,6.8,32.0
Niquelandia,Norte/Nordeste,9,setembro,2024,167,62.0,35.2
Niquelandia,Norte/Nordeste,10,outubro,2024,42,146.4,32.1
Nova Roma,Norte/Nordeste,6,junho,2024,7,6.4,29.7
Nova Roma,Norte/Nordeste,7,julho,2024,26,7.7,31.5
Nova Roma,Norte/Nordeste,8,agosto,2024,53,9.1,34.0
Nova Roma,Norte/Nordeste,9,setembro,2024,81,24.0,33.1
Nova Roma,Norte/Nordeste,10,outubro,2024,22,159.5,32.2
Posse,Norte/Nordeste,6,junho,2024,6,8.9,29.8
Posse,Norte/Nordeste,7,julho,2024,21,8.1,30.9
Posse,Norte/Nordeste,8,agosto,2024,50,4.6,32.2
Posse,Norte/Nordeste,9,setembro,2024,52,40.7,32.8
Posse,Norte/Nordeste,10,outubro,2024,21,124.1,30.2
Sao Domingos,Norte/Nordeste,6,junho,2024,5,20.1,31.8
Sao Domingos,Norte/Nordeste,7,julho,2024,9,3.9,28.7
Sao Domingos,Norte/Nordeste,8,agosto,2024,23,14.0,34.4
Sao Domingos,Norte/Nordeste,9,setembro,2024,33,35.7,31.9
Sao Domingos,Norte/Nordeste,10,outubro,2024,11,82.7,31.4
Simolandia,Norte/Nordeste,6,junho,2024,4,0.6,30.5
Simolandia,Norte/Nordeste,7,julho,2024,7,4.8,29.2
Simolandia,Norte/Nordeste,8,agosto,2024,17,20.1,33.7
Simolandia,Norte/Nordeste,9,setembro,2024,35,70.1,35.0
Simolandia,Norte/Nordeste,10,outubro,2024,11,156.6,33.0
Teresina de Goias,Norte/Nordeste,6,junho,2024,4,11.1,29.0
Teresina de Goias,Norte/Nordeste,7,julho,2024,12,4.4,30.9
Teresina de Goias,Norte/Nordeste,8,agosto,2024,34,12.6,33.8
Teresina de Goias,Norte/Nordeste,9,setembro,2024,28,47.1,33.5
Teresina de Goias,Norte/Nordeste,10,outubro,2024,10,91.8,31.6
Uruana,Norte/Nordeste,6,junho,2024,6,3.0,27.5
Uruana,Norte/Nordeste,7,julho,2024,13,4.8,32.6
Uruana,Norte/Nordeste,8,agosto,2024,33,18.1,32.4
Uruana,Norte/Nordeste,9,setembro,2024,39,29.9,33.6
Uruana,Norte/Nordeste,10,outubro,2024,20,94.5,33.0
Vila Propicio,Norte/Nordeste,6,junho,2024,5,9.5,30.5
Vila Propicio,Norte/Nordeste,7,julho,2024,19,15.9,31.0
Vila Propicio,Norte/Nordeste,8,agosto,2024,28,0.0,33.3
Vila Propicio,Norte/Nordeste,9,setembro,2024,44,40.2,33.8
Vila Propicio,Norte/Nordeste,10,outubro,2024,15,187.5,32.2
Caldas Novas,Sul/Sudoeste,6,junho,2024,6,5.4,28.2
Caldas Novas,Sul/Sudoeste,7,julho,2024,14,6.6,30.3
Caldas Novas,Sul/Sudoeste,8,agosto,2024,38,14.2,34.6
Caldas Novas,Sul/Sudoeste,9,setembro,2024,52,20.2,35.8
Caldas Novas,Sul/Sudoeste,10,outubro,2024,16,189.9,32.5
Catalao,Sul/Sudoeste,6,junho,2024,5,8.3,28.9
Catalao,Sul/Sudoeste,7,julho,2024,20,7.6,30.7
Catalao,Sul/Sudoeste,8,agosto,2024,49,13.4,33.6
Catalao,Sul/Sudoeste,9,setembro,2024,58,44.6,34.7
Catalao,Sul/Sudoeste,10,outubro,2024,23,115.6,32.6
Chapadao do Ceu,Sul/Sudoeste,6,junho,2024,19,11.1,28.7
Chapadao do Ceu,Sul/Sudoeste,7,julho,2024,31,5.1,29.0
Chapadao do Ceu,Sul/Sudoeste,8,agosto,2024,76,13.9,34.4
Chapadao do Ceu,Sul/Sudoeste,9,setembro,2024,141,4.9,34.9
Chapadao do Ceu,Sul/Sudoeste,10,outubro,2024,40,155.4,33.9
Goiatuba,Sul/Sudoeste,6,junho,2024,7,7.4,30.5
Goiatuba,Sul/Sudoeste,7,julho,2024,12,0.1,28.7
Goiatuba,Sul/Sudoeste,8,agosto,2024,26,7.8,33.9
Goiatuba,Sul/Sudoeste,9,setembro,2024,60,51.7,35.8
Goiatuba,Sul/Sudoeste,10,outubro,2024,24,131.6,33.6
Ipameri,Sul/Sudoeste,6,junho,2024,6,9.7,31.8
Ipameri,Sul/Sudoeste,7,julho,2024,19,5.3,30.7
Ipameri,Sul/Sudoeste,8,agosto,2024,39,6.8,33.4
Ipameri,Sul/Sudoeste,9,setembro,2024,50,53.9,33.5
Ipameri,Sul/Sudoeste,10,outubro,2024,12,32.9,30.7
Itumbiara,Sul/Sudoeste,6,junho,2024,15,7.0,27.1
Itumbiara,Sul/Sudoeste,7,julho,2024,33,3.3,30.6
Itumbiara,Sul/Sudoeste,8,agosto,2024,75,2.1,31.5
Itumbiara,Sul/Sudoeste,9,setembro,2024,69,33.1,35.0
Itumbiara,Sul/Sudoeste,10,outubro,2024,31,148.6,30.3
Jatai,Sul/Sudoeste,6,junho,2024,13,9.8,30.7
Jatai,Sul/Sudoeste,7,julho,2024,27,4.5,32.3
Jatai,Sul/Sudoeste,8,agosto,2024,68,6.9,33.2
Jatai,Sul/Sudoeste,9,setembro,2024,131,48.2,36.1
Jatai,Sul/Sudoeste,10,outubro,2024,41,176.5,32.7
Mineiros,Sul/Sudoeste,6,junho,2024,16,8.3,28.7
Mineiros,Sul/Sudoeste,7,julho,2024,47,0.6,31.4
Mineiros,Sul/Sudoeste,8,agosto,2024,92,19.3,33.9
Mineiros,Sul/Sudoeste,9,setembro,2024,184,61.7,32.6
Mineiros,Sul/Sudoeste,10,outubro,2024,44,77.3,31.4
Morrinhos,Sul/Sudoeste,6,junho,2024,7,4.0,28.8
Morrinhos,Sul/Sudoeste,7,julho,2024,13,1.7,30.1
Morrinhos,Sul/Sudoeste,8,agosto,2024,44,22.7,31.3
Morrinhos,Sul/Sudoeste,9,setembro,2024,62,28.4,35.1
Morrinhos,Sul/Sudoeste,10,outubro,2024,18,44.8,33.1
Rio Verde,Sul/Sudoeste,6,junho,2024,10,5.2,30.2
Rio Verde,Sul/Sudoeste,7,julho,2024,26,10.5,30.9
Rio Verde,Sul/Sudoeste,8,agosto,2024,92,8.5,34.0
Rio Verde,Sul/Sudoeste,9,setembro,2024,143,52.4,34.8
Rio Verde,Sul/Sudoeste,10,outubro,2024,39,92.5,31.8
